transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id,legacy_flag
TXN0100,ACC002,DEPT06,PER008,2024-08-08,69196.89,Credit,Professional Services Revenue - Aug 2024,JE1099,
TXN0044,ACC002,DEPT06,PER004,2024-04-28,56835.54,Credit,Professional Services Revenue - Apr 2024,JE1043,legacy_flag
TXN0151,ACC011,DEPT08,PER011,2024-11-15,16907.9,DEBIT,Rent & Facilities - Nov 2024,JE1150,
TXN0060,ACC004,DEPT06,PER005,2024-05-23,8845.68,Credit,Training & Certification Revenue - May 2024,JE1059,
TXN0026,ACC012,DEPT01,PER002,02/08/2024,10897.1,Debit,Software & SaaS Tools - Feb 2024,JE1025,
TXN0113,ACC001,DEPT02,PER009,2024-09-24,268510.1,Credit,Software Subscriptions - Sep 2024,JE1112,
TXN0307,ACC013,DEPT09,PER022,2025-10-16,14925.61,Debit,Legal & Professional Fees - Oct 2025,JE1306,
TXN0318,ACC010,DEPT10,PER023,2025-11-13,6291.56,Debit,Travel & Entertainment - Nov 2025,JE1317,legacy_flag
TXN0302,ACC008,DEPT06,PER022,10/04/2025,205918.74,Debit,Salaries & Benefits - Oct 2025,JE1301,
TXN0189,ACC007,DEPT06,PER014,2025-02-05,32570.26,Debit,Professional Services Delivery - Feb 2025,JE1188,legacy_flag
TXN0124,ACC012,DEPT04,PER009,2024-09-26,6337.54,Debit,Software & SaaS Tools - Sep 2024,JE1123,
TXN0162,ACC008,DEPT01,PER012,2024-12-25,171114.36,Debit,Salaries & Benefits - Dec 2024,JE1161,legacy_flag
TXN0062,ACC006,DEPT07,PER005,2024-05-03,21223.17,Debit,Third-Party Software Licenses - May 2024,JE1061,
TXN0176,ACC008,DEPT06,PER013,2025-01-23,117991.04,Debit,Salaries & Benefits - Jan 2025,JE1175,
TXN0186,ACC004,DEPT06,PER014,2025-02-16,,Credit,Training & Certification Revenue - Feb 2025,JE1185,
TXN0143,ACC003,DEPT06,PER011,2024-11-24,25128.64,Credit,Support & Maintenance Revenue - Nov 2024,JE1142,
TXN0178,ACC010,DEPT06,PER013,2025-01-18,5948.2,Debit,Travel & Entertainment - Jan 2025,JE1177,
 TXN0011,ACC011,DEPT08,PER001,01/12/2024,12870.39,Debit,Rent & Facilities - Jan 2024,JE1010,
TXN0154,ACC014,DEPT08,PER011,2024-11-03,5424.34,Debit,Depreciation & Amortization - Nov 2024,JE1153,
TXN0088,ACC004,DEPT06,PER007,2024-07-22,8713.48,Credit,Training & Certification Revenue - Jul 2024,JE1087,legacy_flag
TXN0205,ACC009,DEPT03,PER015,2025-03-06,29433.38,Debit,Marketing & Advertising - Mar 2025,JE1204,
TXN0188,ACC006,DEPT07,PER014,2025-02-24,21802.1,Debit,Third-Party Software Licenses - Feb 2025,JE1187,
TXN0051,ACC009,DEPT03,PER004,2024-04-27,18855.47,DEBIT,Marketing & Advertising - Apr 2024,JE1050,
TXN0227,ACC003,DEPT06,PER017,2025-05-06,21988.46,Credit,Support & Maintenance Revenue - May 2025,JE1226,
TXN0223,ACC013,DEPT09,PER016,2025-04-11,8468.63,Debit,Legal & Professional Fees - Apr 2025,JE1222,
TXN0299,ACC005,DEPT01,PER022,2025-10-25,75812.17,Debit,Cloud Infrastructure - Oct 2025,JE1298,
TXN0002,ACC002,DEPT06,PER001,01/05/2024,35491.68,Credit,Professional Services Revenue - Jan 2024,JE1001,
TXN0037,ACC009,DEPT03,PER003,2024-03-13,34412.93,Debit,Marketing & Advertising - Mar 2024,JE1036,
TXN0332,ACC010,DEPT06,PER024,2025-12-21,9183.29,Debit,Travel & Entertainment - Dec 2025,JE1331,legacy_flag
TXN0073,ACC003,DEPT06,PER006,2024-06-15,24527.46,Credit,Support & Maintenance Revenue - Jun 2024,JE1072,
TXN0224,ACC014,DEPT08,PER016,2025-04-09,9177.2,Debit,Depreciation & Amortization - Apr 2025,JE1223,legacy_flag
TXN0334,ACC012,DEPT07,PER024,2025-12-11,15552.8,debit,Software & SaaS Tools - Dec 2025,JE1333,
TXN0050,ACC008,DEPT07,PER004,2024-04-03,91823.06,Debit,Salaries & Benefits - Apr 2024,JE1049,
TXN0157,ACC003,DEPT06,PER012,2024-12-16,19976.3,Credit,Support & Maintenance Revenue - Dec 2024,JE1156,
TXN0106,ACC008,DEPT01,PER008,08/24/2024,104310.86,Debit,Salaries & Benefits - Aug 2024,JE1105,legacy_flag
TXN0195,ACC013,DEPT09,PER014,2025-02-09,7138.69,Debit,Legal & Professional Fees - Feb 2025,JE1194,
TXN0083,ACC013,DEPT09,PER006,2024-06-02,4978.68,Debit,Legal & Professional Fees - Jun 2024,JE1082,
 TXN0163,ACC009,DEPT03,PER012,2024-12-26,33317.25,Debit,Marketing & Advertising - Dec 2024,JE1162,
TXN0022,ACC008,DEPT07,PER002,2024-02-24,124003.63,Debit,Salaries & Benefits - Feb 2024,JE1021,legacy_flag
TXN0014,ACC014,DEPT08,PER001,01/03/2024,4483.84,Debit,Depreciation & Amortization - Jan 2024,JE1013,
 TXN0296,ACC002,DEPT06,PER022,2025-10-22,66666.85,Credit,Professional Services Revenue - Oct 2025,JE1295,legacy_flag
TXN0112,ACC014,DEPT08,PER008,2024-08-21,4812.76,Debit,Depreciation & Amortization - Aug 2024,JE1111,
TXN0063,ACC007,,PER005,2024-05-22,36960.64,Debit,Professional Services Delivery - May 2024,JE1062,
TXN0116,ACC004,DEPT06,PER009,2024-09-27,20520.06,Credit,Training & Certification Revenue - Sep 2024,JE1115,
TXN0190,ACC008,DEPT07,PER014,2025-02-01,187438.48,Debit,Salaries & Benefits - Feb 2025,JE1189,
 TXN0261,ACC009,DEPT03,PER019,2025-07-10,33089.9,Debit,Marketing & Advertising - Jul 2025,JE1260,
TXN0048,ACC006,DEPT01,PER004,2024-04-04,13078.86,Debit,Third-Party Software Licenses - Apr 2024,JE1047,
TXN0187,ACC005,DEPT01,PER014,2025-02-22,41479.59,Debit,Cloud Infrastructure - Feb 2025,JE1186,
TXN0080,ACC010,DEPT06,PER006,2024-06-09,4914.91,Debit,Travel & Entertainment - Jun 2024,JE1079,
TXN0324,ACC002,DEPT06,PER024,2025-12-16,95351.18,Credit,Professional Services Revenue - Dec 2025,JE1323,
TXN0094,ACC010,DEPT06,PER007,2024-07-08,7071.57,Debit,Travel & Entertainment - Jul 2024,JE1093,
TXN0127,ACC001,DEPT02,PER010,2024-10-08,268608.34,Credit,Software Subscriptions - Oct 2024,JE1126,
TXN0010,ACC010,DEPT06,PER001,2024-01-04,3374.18,Debit,Travel & Entertainment - Jan 2024,JE1009,
TXN0200,ACC004,DEPT06,PER015,2025-03-25,23986.48,Credit,Training & Certification Revenue - Mar 2025,JE1199,
TXN0159,ACC005,DEPT01,PER012,2024-12-23,52469.33,Debit,Cloud Infrastructure - Dec 2024,JE1158,
TXN0284,ACC004,DEPT06,PER021,09/19/2025,20952.98,Credit,Training & Certification Revenue - Sep 2025,JE1283,
TXN0075,ACC005,DEPT01,PER006,06/02/2024,57730.64,Debit,Cloud Infrastructure - Jun 2024,JE1074,
TXN0283,ACC003,DEPT06,PER021,2025-09-25,24964.1,CREDIT,Support & Maintenance Revenue - Sep 2025,JE1282,
TXN0133,ACC007,DEPT06,PER010,2024-10-01,55660.93,Debit,Professional Services Delivery - Oct 2024,JE1132,legacy_flag
TXN0289,ACC009,DEPT03,PER021,2025-09-11,36141.02,Debit,Marketing & Advertising - Sep 2025,JE1288,legacy_flag
TXN0257,ACC005,DEPT01,PER019,2025-07-03,49751.66,Debit,Cloud Infrastructure - Jul 2025,JE1256,legacy_flag
TXN0182,ACC014,,PER013,2025-01-16,8800.61,Debit,Depreciation & Amortization - Jan 2025,JE1181,
TXN0025,ACC011,DEPT08,PER002,2024-02-27,16108.78,Debit,Rent & Facilities - Feb 2024,JE1024,
TXN0186,ACC004,DEPT06,PER014,2025-02-16,10600.85,Credit,Training & Certification Revenue - Feb 2025,JE1185,
TXN0215,ACC005,DEPT01,PER016,2025-04-03,60646.08,Debit,Cloud Infrastructure - Apr 2025,JE1214,
TXN0258,ACC006,DEPT01,PER019,2025-07-18,,Debit,Third-Party Software Licenses - Jul 2025,JE1257,
TXN0125,ACC013,DEPT09,PER009,09/09/2024,11656.75,Debit,Legal & Professional Fees - Sep 2024,JE1124,
TXN0092,ACC008,DEPT07,PER007,2024-07-17,140344.81,Debit,Salaries & Benefits - Jul 2024,JE1091,
TXN0068,ACC012,DEPT07,PER005,05/28/2024,8960.68,Debit,Software & SaaS Tools - May 2024,JE1067,legacy_flag
TXN0210,ACC014,DEPT08,PER015,2025-03-03,9383.57,Debit,Depreciation & Amortization - Mar 2025,JE1209,
TXN0051,ACC009,DEPT03,PER004,2024-04-27,,Debit,Marketing & Advertising - Apr 2024,JE1050,
TXN0256,ACC004,DEPT06,PER019,2025-07-05,16804.24,Credit,Training & Certification Revenue - Jul 2025,JE1255,
 TXN0220,ACC010,DEPT02,PER016,2025-04-24,4085.13,Debit,Travel & Entertainment - Apr 2025,JE1219,
TXN0078,ACC008,DEPT06,PER006,2024-06-07,120042.57,Debit,Salaries & Benefits - Jun 2024,JE1077,legacy_flag
TXN0310,ACC002,DEPT06,PER023,2025-11-08,65972.79,DEBIT,Professional Services Revenue - Nov 2025,JE1309,
 TXN0023,ACC009,DEPT03,PER002,2024-02-13,,Debit,Marketing & Advertising - Feb 2024,JE1022,legacy_flag
TXN0250,ACC012,DEPT03,PER018,2025-06-21,10215.19,Debit,Software & SaaS Tools - Jun 2025,JE1249,
TXN0278,ACC012,DEPT04,PER020,2025-08-23,8805.71,Debit,Software & SaaS Tools - Aug 2025,JE1277,
TXN0331,ACC009,DEPT03,PER024,2025-12-11,42779.62,Debit,Marketing & Advertising - Dec 2025,JE1330,legacy_flag
TXN0036,ACC008,DEPT02,PER003,03/26/2024,93072.37,Debit,Salaries & Benefits - Mar 2024,JE1035,legacy_flag
TXN0086,ACC002,DEPT06,PER007,2024-07-02,48982.93,Credit,Professional Services Revenue - Jul 2024,JE1085,
TXN0199,ACC003,DEPT06,PER015,2025-03-25,25249.58,Credit,Support & Maintenance Revenue - Mar 2025,JE1198,legacy_flag
TXN0129,ACC003,DEPT06,PER010,10/08/2024,24472.33,Credit,Support & Maintenance Revenue - Oct 2024,JE1128,
TXN0067,ACC011,DEPT08,PER005,05/12/2024,14136.7,Debit,Rent & Facilities - May 2024,JE1066,
TXN0174,ACC006,DEPT01,PER013,2025-01-09,21945.36,Debit,Third-Party Software Licenses - Jan 2025,JE1173,legacy_flag
TXN0231,ACC007,DEPT06,PER017,2025-05-03,28861.63,Debit,Professional Services Delivery - May 2025,JE1230,
TXN0203,ACC007,DEPT06,PER015,2025-03-19,31838.85,Debit,Professional Services Delivery - Mar 2025,JE1202,
TXN0042,ACC014,DEPT08,PER003,2024-03-01,5702.12,debit,Depreciation & Amortization - Mar 2024,JE1041,
TXN0110,ACC012,DEPT01,PER008,2024-08-03,10103.67,Debit,Software & SaaS Tools - Aug 2024,JE1109,
TXN0111,ACC013,DEPT09,PER008,08/02/2024,8927.99,Dr,Legal & Professional Fees - Aug 2024,JE1110,
TXN0216,ACC006,DEPT07,PER016,04/01/2025,19700.14,Debit,Third-Party Software Licenses - Apr 2025,JE1215,
 TXN0041,ACC013,DEPT09,PER003,2024-03-10,8048.24,Debit,Legal & Professional Fees - Mar 2024,JE1040,
TXN0303,ACC009,DEPT03,PER022,2025-10-23,24368.69,Debit,Marketing & Advertising - Oct 2025,JE1302,
TXN0179,ACC011,DEPT08,PER013,2025-01-07,19604.1,Debit,Rent & Facilities - Jan 2025,JE1178,
TXN0038,ACC010,DEPT06,PER003,2024-03-17,4611.44,credit,Travel & Entertainment - Mar 2024,JE1037,
TXN0065,ACC009,DEPT03,PER005,05/08/2024,37219.29,DEBIT,Marketing & Advertising - May 2024,JE1064,
 TXN0167,ACC013,DEPT09,PER012,2024-12-25,8128.25,debit,Legal & Professional Fees - Dec 2024,JE1166,
TXN0311,ACC003,DEPT06,PER023,2025-11-13,34416.58,Credit,Support & Maintenance Revenue - Nov 2025,JE1310,
TXN0267,ACC001,DEPT02,PER020,2025-08-23,,Credit,Software Subscriptions - Aug 2025,JE1266,
TXN0028,ACC014,DEPT08,PER002,2024-02-19,5043.38,Debit,Depreciation & Amortization - Feb 2024,JE1027,
TXN0070,ACC014,DEPT08,PER005,2024-05-26,5858.85,Debit,Depreciation & Amortization - May 2024,JE1069,legacy_flag
 TXN0201,ACC005,DEPT01,PER015,2025-03-07,42316.66,Debit,Cloud Infrastructure - Mar 2025,JE1200,legacy_flag
TXN0246,ACC008,DEPT03,PER018,2025-06-08,,Debit,Salaries & Benefits - Jun 2025,JE1245,
TXN0336,ACC014,DEPT08,PER024,2025-12-08,8996.88,Cr,Depreciation & Amortization - Dec 2025,JE1335,legacy_flag
TXN0142,ACC002,DEPT06,PER011,11/20/2024,51121.65,Credit,Professional Services Revenue - Nov 2024,JE1141,legacy_flag
TXN0249,ACC011,DEPT08,PER018,2025-06-18,17795.99,Debit,Rent & Facilities - Jun 2025,JE1248,
TXN0262,ACC010,DEPT02,PER019,2025-07-20,7982.37,Debit,Travel & Entertainment - Jul 2025,JE1261,legacy_flag
TXN0007,ACC007,DEPT06,PER001,2024-01-26,32010.98,Debit,Professional Services Delivery - Jan 2024,JE1006,
TXN0320,ACC012,DEPT03,PER023,2025-11-19,9954.89,credit,Software & SaaS Tools - Nov 2025,JE1319,
TXN0087,ACC003,DEPT06,PER007,2024-07-28,34558.73,Credit,Support & Maintenance Revenue - Jul 2024,JE1086,
TXN0122,ACC010,DEPT02,PER009,09/28/2024,7958.66,Debit,Travel & Entertainment - Sep 2024,JE1121,
TXN0198,ACC002,DEPT06,PER015,2025-03-12,70421.79,Credit,Professional Services Revenue - Mar 2025,JE1197,
TXN0313,ACC005,DEPT01,PER023,2025-11-11,49998.77,Debit,Cloud Infrastructure - Nov 2025,JE1312,
TXN0211,ACC001,,PER016,2025-04-04,285157.48,Credit,Software Subscriptions - Apr 2025,JE1210,legacy_flag
TXN0013,ACC013,DEPT09,PER001,2024-01-18,3386.76,Debit,Legal & Professional Fees - Jan 2024,JE1012,
TXN0275,ACC009,DEPT03,PER020,2025-08-06,27833.86,Debit,Marketing & Advertising - Aug 2025,JE1274,
TXN0098,ACC014,DEPT08,PER007,2024-07-03,6315.46,Debit,Depreciation & Amortization - Jul 2024,JE1097,
TXN0272,ACC006,DEPT01,PER020,2025-08-14,26242.46,credit,Third-Party Software Licenses - Aug 2025,JE1271,legacy_flag
TXN0189,ACC007,DEPT06,PER014,02/05/2025,32570.26,Debit,Professional Services Delivery - Feb 2025,JE1188,
TXN0276,ACC010,DEPT10,PER020,2025-08-24,10133.66,Debit,Travel & Entertainment - Aug 2025,JE1275,
TXN0222,ACC012,DEPT07,PER016,2025-04-15,14920.35,Debit,Software & SaaS Tools - Apr 2025,JE1221,
TXN0063,ACC007,DEPT06,PER005,2024-05-22,36960.64,Debit,Professional Services Delivery - May 2024,JE1062,legacy_flag
TXN0288,ACC008,,PER021,2025-09-16,196503.41,Debit,Salaries & Benefits - Sep 2025,JE1287,
TXN0217,ACC007,,PER016,2025-04-04,57735.15,Debit,Professional Services Delivery - Apr 2025,JE1216,legacy_flag
TXN0054,ACC012,DEPT07,PER004,2024-04-07,6771.48,Debit,Software & SaaS Tools - Apr 2024,JE1053,
TXN0085,ACC001,DEPT02,PER007,2024-07-19,226239.43,Credit,Software Subscriptions - Jul 2024,JE1084,legacy_flag
TXN0104,ACC006,DEPT07,PER008,2024-08-22,21366.3,Debit,Third-Party Software Licenses - Aug 2024,JE1103,
TXN0330,ACC008,DEPT02,PER024,2025-12-03,,Debit,Salaries & Benefits - Dec 2025,JE1329,legacy_flag
TXN0213,ACC003,DEPT06,PER016,2025-04-26,35369.44,Credit,Support & Maintenance Revenue - Apr 2025,JE1212,legacy_flag
 TXN0280,ACC014,DEPT08,PER020,2025-08-03,8429.92,Debit,Depreciation & Amortization - Aug 2025,JE1279,
TXN0279,ACC999,DEPT09,PER020,2025-08-17,8726.34,Debit,Legal & Professional Fees - Aug 2025,JE1278,legacy_flag
