employee_id,department,job_level,tenure_band,base_salary,satisfaction_score,nps_score,bonus_pct,remote_days_wk,flight_risk,gender,ethnicity
EMP0001,HR,IC1,2-5yr,95787.58,9,12,,5,Medium,Unknown,None
EMP0002,Marketing,IC3,10+yr,175357.38,3,92,2.4,3,Medium,Non-binary,Prefer not to say
EMP0003,Sales,Senior,5-10yr,60669.66,2,,7.6,4,High,Non-binary,Other
EMP0004,Product,Manager,1-2yr,206100.11,7,-42,19.2,1,Low,Male,Black
EMP0005,Sales,Senior,<1yr,158444.51,5,17,11.7,3,Low,Prefer not to say,Other
EMP0006,HR,Staff,2-5yr,131166.49,9,-36,15.0,1,Medium,Female,Unknown
EMP0007,Sales,Manager,5-10yr,97231.11,6,83,11.2,5,Low,Prefer not to say,Prefer not to say
EMP0008,Finance,Manager,<1yr,112151.55,9,87,8.7,3,Medium,Non-binary,NULL
EMP0009,Engineering,IC2,5-10yr,"$101,831.60",,,14.5,4,High,Male,Prefer not to say
EMP0010,Engineering,Director,1-2yr,171497.48,9,-21,16.3,1,Medium,n/a,Other
EMP0011,Customer Success,IC2,10+yr,151970.06,3,40,21.1,3,Low,-,
EMP0012,HR,IC1,<1yr,103433.05,3,-93,15.4,4,Medium,Female,Black
EMP0013,Engineering,Director,5-10yr,91800.64,8,98,5.9,0,Low,Prefer not to say,Asian
EMP0014,Customer Success,Senior,5-10yr,76150.1,5,-18,14.6,4,Low,Female,White
EMP0015,Customer Success,Senior,10+yr,120363.34,3,,5.2,4,High,Male,Asian
EMP0016,Finance,Principal,<1yr,125442.57,10,,19.3,5,High,Non-binary,Prefer not to say
EMP0017,Finance,Principal,2-5yr,149284.57,8,-51,25.0,2,Medium,Female,White
EMP0018,HR,Senior,10+yr,63910.84,3,97,12.9,4,High,Prefer not to say,Other
EMP0019,Product,Senior,<1yr,179737.02,8,22,5.1,3,Medium,Male,Other
EMP0020,Sales,IC3,10+yr,132121.8,5,72,19.4,1,Low,Prefer not to say,Other
EMP0021,Marketing,Senior,1-2yr,85772.93,1,-14,20.8,1,Low,Female,Asian
EMP0022,Marketing,Principal,<1yr,193089.06,7,38,12.6,5,Medium,Female,N/A
EMP0023,Marketing,Senior,1-2yr,135530.2,8,20,15.0,5,Low,Male,Black
EMP0024,Product,IC3,10+yr,111750.05,5,5,15.3,4,Low,Male,Black
EMP0025,Engineering,IC3,5-10yr,116166.58,2,-96,16.5,2,High,Male,Prefer not to say
EMP0026,Sales,Senior,<1yr,100316.39,4,57,14.9,0,Medium,Non-binary,Hispanic
EMP0027,Engineering,Senior,2-5yr,161961.53,,-24,3.0,2,Low,Female,Other
EMP0028,Sales,IC2,10+yr,76918.17,9,-85,,5,Low,Male,Unknown
EMP0029,Sales,Staff,5-10yr,92737.31,4,-33,20.5,2,Medium,Non-binary,Other
EMP0030,Finance,Principal,5-10yr,140243.47,7,68,1.5,3,Medium,Unknown,Other
EMP0031,Marketing,Director,1-2yr,"$145,950.43",4,-44,18.2,4,Low,Female,Black
EMP0032,HR,IC2,<1yr,133115.33,6,-97,,5,Medium,Non-binary,Hispanic
EMP0033,Finance,IC1,1-2yr,140769.68,3,,,2,High,Female,Prefer not to say
EMP0034,Finance,IC3,1-2yr,169967.92,7,43,11.7,0,Medium,Male,Other
EMP0035,Product,IC3,10+yr,158541.88,7,100,5.9,3,Low,Prefer not to say,Other
EMP0036,Marketing,Staff,1-2yr,124092.71,5,,9.6,5,High,Male,White
EMP0037,Engineering,IC3,5-10yr,65771.94,2,-24,16.2,5,Low,Non-binary,Hispanic
EMP0038,Marketing,IC1,5-10yr,187847.62,6,,,0,High,Prefer not to say,Asian
EMP0039,Sales,Senior,<1yr,70787.89,7,66,12.5,1,Low,NULL,Asian
EMP0040,HR,IC2,10+yr,155010.79,8,,,3,High,Male,White
EMP0041,Product,Senior,5-10yr,"$190,671.59",5,72,8.0,4,Low,Male,Hispanic
EMP0042,Engineering,Senior,5-10yr,109217.65,8,,13.6,4,High,Male,Asian
EMP0043,Sales,Staff,1-2yr,116311.87,4,-7,6.0,0,Low,Non-binary,Hispanic
EMP0044,Marketing,Senior,1-2yr,132901.49,9,,7.9,1,High,Prefer not to say,Asian
EMP0045,Engineering,IC2,<1yr,163945.73,5,-47,,0,High,Prefer not to say,null
EMP0046,Finance,IC2,1-2yr,83683.66,6,-94,1.8,2,Medium,Female,Prefer not to say
EMP0047,Sales,Staff,<1yr,79956.06,2,76,21.2,1,Medium,Non-binary,Prefer not to say
EMP0048,Customer Success,Staff,1-2yr,122566.79,2,-38,13.8,4,Low,Non-binary,White
EMP0049,HR,Staff,<1yr,204182.52,5,,18.9,0,High,Prefer not to say,Asian
EMP0050,Sales,IC2,1-2yr,151182.24,4,78,13.2,1,Medium,#N/A,White
EMP0051,Product,IC1,5-10yr,175004.04,9,-91,,5,Low,Male,Other
EMP0052,Marketing,Director,10+yr,139959.1,6,-87,13.2,5,Low,Female,Asian
EMP0053,Sales,Staff,5-10yr,202864.98,3,-85,21.9,2,Medium,Non-binary,Black
EMP0054,HR,IC2,2-5yr,154529.74,1,83,,2,Medium,Female,Black
EMP0055,Customer Success,IC3,2-5yr,178060.19,9,78,15.4,4,Medium,Non-binary,#N/A
EMP0056,Sales,IC3,1-2yr,179467.98,,-58,0.6,3,Low,Prefer not to say,Prefer not to say
EMP0057,Engineering,IC2,1-2yr,85990.1,1,89,,2,Medium,Female,Prefer not to say
EMP0058,Finance,Staff,<1yr,188298.96,1,55,9.7,0,Medium,Non-binary,null
EMP0059,Marketing,Principal,2-5yr,180412.51,6,,19.5,1,High,Non-binary,Unknown
EMP0060,HR,Director,5-10yr,201434.38,9,,19.5,0,High,Non-binary,Other
EMP0061,Engineering,IC1,10+yr,102890.42,2,91,,3,Low,Male,Prefer not to say
EMP0062,Customer Success,Director,2-5yr,127604.61,8,-68,12.8,0,Medium,Female,Prefer not to say
EMP0063,Finance,Senior,<1yr,142623.54,4,26,3.4,5,Low,Prefer not to say,Prefer not to say
EMP0064,Finance,IC1,10+yr,203454.23,3,-60,,0,Medium,Female,Other
EMP0065,Customer Success,IC3,2-5yr,"$96,252.89",10,-75,2.3,0,Low,Non-binary,n/a
