transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id
TXN0001,ACC001,DEPT02,PER001,2024-01-24,210716.5,Credit,Software Subscriptions - Jan 2024,JE1000
TXN0002,ACC002,DEPT06,PER001,2024-01-05,35491.68,Credit,Professional Services Revenue - Jan 2024,JE1001
TXN0003,ACC003,DEPT06,PER001,2024-01-19,26698.24,Credit,Support & Maintenance Revenue - Jan 2024,JE1002
TXN0004,ACC004,DEPT06,PER001,2024-01-03,10747.11,Credit,Training & Certification Revenue - Jan 2024,JE1003
TXN0005,ACC005,DEPT01,PER001,2024-01-18,36352.6,Debit,Cloud Infrastructure - Jan 2024,JE1004
TXN0006,ACC006,DEPT07,PER001,2024-01-08,10645.7,Debit,Third-Party Software Licenses - Jan 2024,JE1005
TXN0007,ACC007,DEPT06,PER001,2024-01-26,32010.98,Debit,Professional Services Delivery - Jan 2024,JE1006
TXN0008,ACC008,DEPT02,PER001,2024-01-23,135461.97,Debit,Salaries & Benefits - Jan 2024,JE1007
TXN0009,ACC009,DEPT03,PER001,2024-01-05,26204.49,Debit,Marketing & Advertising - Jan 2024,JE1008
TXN0010,ACC010,DEPT06,PER001,2024-01-04,3374.18,Debit,Travel & Entertainment - Jan 2024,JE1009
TXN0011,ACC011,DEPT08,PER001,2024-01-12,12870.39,Debit,Rent & Facilities - Jan 2024,JE1010
TXN0012,ACC012,DEPT04,PER001,2024-01-26,11205.77,Debit,Software & SaaS Tools - Jan 2024,JE1011
TXN0013,ACC013,DEPT09,PER001,2024-01-18,3386.76,Debit,Legal & Professional Fees - Jan 2024,JE1012
TXN0014,ACC014,DEPT08,PER001,2024-01-03,4483.84,Debit,Depreciation & Amortization - Jan 2024,JE1013
TXN0015,ACC001,DEPT02,PER002,2024-02-19,212185.71,Credit,Software Subscriptions - Feb 2024,JE1014
TXN0016,ACC002,DEPT06,PER002,2024-02-02,33316.61,Credit,Professional Services Revenue - Feb 2024,JE1015
TXN0017,ACC003,DEPT06,PER002,2024-02-03,26164.9,Credit,Support & Maintenance Revenue - Feb 2024,JE1016
TXN0018,ACC004,DEPT06,PER002,2024-02-13,16925.09,Credit,Training & Certification Revenue - Feb 2024,JE1017
TXN0019,ACC005,DEPT01,PER002,2024-02-06,38796.81,Debit,Cloud Infrastructure - Feb 2024,JE1018
TXN0020,ACC006,DEPT01,PER002,2024-02-22,13064.28,Debit,Third-Party Software Licenses - Feb 2024,JE1019
TXN0021,ACC007,DEPT06,PER002,2024-02-20,28008.17,Debit,Professional Services Delivery - Feb 2024,JE1020
TXN0022,ACC008,DEPT07,PER002,2024-02-24,124003.63,Debit,Salaries & Benefits - Feb 2024,JE1021
TXN0023,ACC009,DEPT03,PER002,2024-02-13,22176.29,Debit,Marketing & Advertising - Feb 2024,JE1022
TXN0024,ACC010,DEPT10,PER002,2024-02-23,3800.67,Debit,Travel & Entertainment - Feb 2024,JE1023
TXN0025,ACC011,DEPT08,PER002,2024-02-27,16108.78,Debit,Rent & Facilities - Feb 2024,JE1024
TXN0026,ACC012,DEPT01,PER002,2024-02-08,10897.1,Debit,Software & SaaS Tools - Feb 2024,JE1025
TXN0027,ACC013,DEPT09,PER002,2024-02-13,9190.25,Debit,Legal & Professional Fees - Feb 2024,JE1026
TXN0028,ACC014,DEPT08,PER002,2024-02-19,5043.38,Debit,Depreciation & Amortization - Feb 2024,JE1027
TXN0029,ACC001,DEPT02,PER003,2024-03-07,231183.81,Credit,Software Subscriptions - Mar 2024,JE1028
TXN0030,ACC002,DEPT06,PER003,2024-03-21,51535.88,Credit,Professional Services Revenue - Mar 2024,JE1029
